id,organization_id,name,alternate_name,description,transportation,latitude,longitude
2475,,"The National  Cancer  Institute - Cancer Information Service",,,,,
2476,,"Canine Companions for Independence",,,,,
2477,,Childhelp,,,,,
2478,,"Companion Animal Related Emotions (CARE) Pet Loss Helpline",,,,40.092742277352,-88.219052678135
2479,,"Expect a Miracle Foundation",,,,,
2480,,"Family Support Network of Illinois",,,,,
2481,,"Gift of Hope Organ & Tissue Donor Network",,,,,
2482,,"Illinois Coalition Against Sexual Assault (ICASA)",,,,,
2483,,"Illinois Coalition for Immigrant and Refugee Rights",,,,,
2484,,"Illinois Commerce Commission (ICC)",,,,,
2485,,"Illinois Council on Problem Gambling",,,,,
2486,,"InfantSEE - American Optometric Association",,,,,
2487,,"Iraq & Afghanistan Veterans of America (IAVA)",,,,,
2488,,"Learning Ally",,,,,
2489,,"Learning Disabilities Association of Illinois",,,,,
2490,,"National Center for Missing and Exploited Children",,,,,
2491,,"National Center on Birth Defects and Developmental Disabilities",,,,,
2492,,"National Multiple Sclerosis Society - Greater Illinois Chapter",,,,,
2493,,"Mercy Medical Angels",,,,,
2494,,"Needymeds, Inc.",,,,,
2495,,"Sierra Club - Illinois Chapter",,,,,
2496,,"SAMHSA - Substance Abuse and Mental Services Administration",,,,,
2497,,"U.S. Citizenship and Immigration Services",,,,,
2498,,"Consumer Product Safety Commission",,,,,
2499,,"Us TOO - International Prostate Cancer Education & Support Network",,,,,
2500,,"USO of Illinois, Inc.",,,,,
2501,,"Women for Sobriety",,,,,
2502,,"The Women's Treatment Center",,,,,
2503,,"Corbella Clinic",,,,,
2504,,"Rest-Oration Church",,,,40.096870097377,-88.190644033342
2505,,"Countrybrook Apartments",,,,40.112956143037,-88.286514565482
2506,,"Illinois Department of Public Health - Chicago Headquarters",,,,,
2507,,"American Printing House for the Blind (APH) ConnectCenter",,,,,
2508,,"RSVP & Stevick Senior Center",,,,40.118038541023,-88.242834553499
2509,,"Rantoul Public Library",,,,40.294712474707,-88.159049958065
2510,,Help-4-Hep,,,,,
2511,,AIDSinfo,,,,,
2512,,"Grounds of Grace",,,,,
2513,,Upsolve,,,,,
2514,,"Baby Fold - Healthy Start Program - Champaign",,,,40.112497485295,-88.207120424233
2515,,"Cornerstone Food Pantry",,,,40.09471251168,-88.194329891444
2516,,"The Immigration Project - Champaign",,,,40.116282543222,-88.250848980737
2517,,"Rosecrance at Walnut Street",,,,40.124041545263,-88.241080040224
2518,,"Rosecrance on Moreland",,,,40.142063433371,-88.250595679623
2519,,"Safe Families for Children - Champaign - Urbana",,,,40.133628766115,-88.247842475887
2520,,"Survivors of Suicide Loss Support Group",,,,40.117473106239,-88.227206678336
2521,,"Healthy Beginnings Nurse Family Partner",,,,40.117402533124,-88.21442005607
2560,14014,"Armory Shared Offices",ARM213,"Common area to discuss group issues","Bus MTD",40.105402078528,-88.232070081044
2561,14015,"CHRES Main Office",,"Champaign County 2-1-1 Resources","MTD 5 Green East",40.112905553637,-88.179880159076
