id,organization_id,program_id,name,alternate_name,description,url,email,status,interpretation_services,application_process,wait_time,fees,accreditations,licenses,taxonomy_ids
350,1993,,"Home Based Parenting Education * New Parents","Healthy Families Illinois","A voluntary home visiting program providing parent support and education to at-risk, young, first time parents beginning prenatally up until their child reaches the age of 5. Parents learn about positive play, child development, nutrition, wellness, and community resources. Provides access to social supports through mom and family groups.

Doula Program provides prenatal information and emotional support, labor coaching, postpartum depression and breastfeeding support and assistance in the early weeks after childbirth. Doula services begin during the third trimester of pregnancy.",,,inactive,,"By phone, fax, or email","- 18 years old and younger with any number pregnancy/child (first, second, etc.)
- 19 to 25 years old (first time mom).
- Must be identified prenatally or before the child is 2 weeks old.",,,,789038541797078
351,1993,,"Support Groups * Parents","The Bump Club","The Bump Club and Bellies, Babies and Beyond are Prenatal and Mom support groups. Food and childcare are provided at meetings.",,,inactive,,"By phone, walk-in.",,,,,
353,2032,,"Support Groups * Cocaine Use Disorder",,"Cocaine Anonymous is a fellowship of men and women who share their experiences, strengths, and hopes with each other so that they may solve their common problems and help others to recover from their addictions. The only requirement for membership is a desire to stop using cocaine and all other mind-altering substances.",http://illinoisareaca.org,,inactive,,"By phone.",,,,,
354,21,,"Veteran Employment Programs",,"Assists veterans in finding gainful employment. Eligible veterans can search for jobs online at IllinoisJobLink.com and should plan a visit to their local IDES office to obtain more information related to employment services and opportunities tailored specifically for veterans.",http://www.ides.illinois.gov,,inactive,,"By phone.",,,DD-214.,,
355,21,,"Comprehensive Job Assistance Centers",,"Unemployment Insurance - Files claims and determines eligibility for unemployment benefits. The fastest way to access unemployment benefits is through the website. People can also file at the local IDES office.

IllinoisJobLink.com is a website that connects skilled job seekers to employers in Illinois. Job seekers can build multiple resumes to emphasize different skills and experiences. Business owners can use keyword matching technology to search resumes and find the best candidate. IllinoisJobLink.com is free for workers and employers and can be accessed 24/7 online.",,,inactive,,"By phone and website.",,,,,970915508638448
356,212,,"Support Groups * Drug Use Disorders",,"Narcotics Anonymous is a nonprofit fellowship of men and women of all ages for whom drugs had become a major problem. Members are recovering addicts who meet regularly to help each other stay clean. This is a program of complete abstinence from all drugs. The fellowship is concerned with the disease of addiction and recovery from that disease; the drug (or drugs) of choice is unimportant. There are no social, religious, economic, racial, ethnic, national, gender, or class-status membership restrictions.",https://www.na.org/meetingsearch/,,inactive,,"By phone.",,,,,
357,212,,"Substance Use Disorder Hotlines",,"Narcotics Anonymous is a nonprofit fellowship of men and women of all ages for whom drugs had become a major problem. Members are recovering addicts who meet regularly to help each other stay clean. This is a program of complete abstinence from all drugs. The fellowship is concerned with the disease of addiction and recovery from that disease; the drug (or drugs) of choice is unimportant. There are no social, religious, economic, racial, ethnic, national, gender, or class-status membership restrictions.",https://www.na.org/meetingsearch/,,inactive,,"By phone.",,,,,
358,2159,,"Personal Financial Counseling * Older Adults","Illinois Volunteer Money Management Program","The CRIS Money Management Program utilizes volunteers to work with seniors on budgeting, sorting through mail, checkbook balancing, and bill paying. This program assists seniors 60 years of age and older who need assistance due to physical or mental disabilities, unpaid bills, inability to read or write, loss of home due to foreclosure, or threats of utility shut-off.",http://www.agestrong.org,info@agestrong.org,inactive,,,"Cannot have Power of Attorney; must be a participant in Adult Protective Services or Care Coordination Unit.",,"Bank statement.",,1077790582995406
359,2159,,"Medical Social Work * Older Adults","Bridge Care Transition Program","The CRIS Healthy-Aging Center has partnered with local hospitals to assist qualified individuals in the transition from hospital to home. This program is provided at no cost to the participant. A Bridge coach will assist in many areas, including developing a personal health record, making/keeping doctor appointments, managing medications, and identifying additional community resources.",,,inactive,,"Bridge coaches are located at three area hospitals: Presence United Samaritan's Medical Center in Danville, Presence Covenant Medical Center in Champaign, and Carle Foundation Hospital in Urbana.","For those age 60 and older that are being discharged from a participating hospital.",,,,
361,2169,,"Home Delivered Meals","Meals on Wheels","Meals on Wheels provides a home-delivered hot lunch with an option to add a cold sack supper for seniors or others who need short- or long-term assistance meeting nutritional needs due to difficulties with shopping or cooking. Meals can be personalized to accommodate special diets such as diabetic, low sodium, low cholesterol, mechanical soft, or gluten-free. Delivery is available Monday through Friday in Champaign, Urbana, and Savoy. Staff are available to assist those living in other parts of Champaign County in locating meal delivery options for their community.",http://www.famservcc.org,,inactive,,"Call the Senior Resource Center.","- Adults with long-term needs due to physical or mental challenges that make it difficult or unsafe to shop or cook.
- Adults with short-term needs due to pregnancy, injury, vacation of a caregiver, etc.",,,,
362,2169,,"Support Group Clearinghouses","Self-Help Center","The Self-Help Center is a clearinghouse for self-help and support groups. The program refers individuals to appropriate groups, helps new groups form, conducts workshops and courses for group leaders, provides consultation to existing groups, educates the public about self-help, and publishes the Support Group Directory as well as specialized lists of groups and the Self-Helper newsletter.",http://www.famservcc.org,,inactive,,"Copies of the directory may be ordered and picked up at Family Service. Information is also available online.",,,,,
363,2169,,"Adult Protective Intervention/Investigation","Adult Protective Services (APS)","Investigates allegations of abuse, neglect, exploitation, and self-neglect of older adults (ages 60 and older) as well as persons with disabilities (ages 18-59) who live in a domestic (non-institutional) setting. Appointed by the Illinois Department on Aging to investigate allegations of physical and emotional abuse, financial exploitation, confinement/neglect, deprivation of food or medication, sexual abuse, and self-neglect.

This program offers 24-hour intakes by phone. A caseworker will make a home visit to investigate any allegations of abuse and self neglect and offer assistance to victims. Interventions can include, but are not limited to, in-home, legal, medical, relocation, and counseling services.",,,inactive,,"To make a confidential report of suspected abuse, or for assistance, call the Senior Resource Center or the 24-hour Abuse Hotline. Anonymous reports accepted.","Seniors (ages 60+) and people (ages 18-59) with disabilities and living in a home (non-institutional) setting.",,,,
364,2169,,"Volunteer Opportunities * Older Adults",RSVP,"As an RSVP member you may choose from among more than 100 local public and non-profit organizations to donate your skills and experience. You will be joining other older adults who volunteer their time to meet critical community needs at schools, food pantries, libraries, hospitals, etc. You may volunteer as little time as one hour per month to as much as 40 hours per week. Your membership benefits may include mileage reimbursement, supplemental auto insurance, volunteer recognition events and much more.

",http://www.famservcc.org,,inactive,,"By phone, walk-in, or appointment.","Older adults (ages 55 or older) who enjoy staying active and involved in their communities.",,,,
365,2169,,"Grocery Ordering/Delivery","Food for Seniors","The Food for Seniors program provides groceries to seniors in Champaign and Urbana who are in need of food. Groceries are sacked and delivered by volunteers on the second and fourth Tuesday of each month.",,,inactive,,"By phone.","Age 60 and older.",,,"100% of the federal poverty level.",
366,2175,,"Support Groups * Bereaved Parents",,"A self-help organization offering friendship and understanding to all bereaved parents who have lost a child at any age from any cause. The purpose is to promote and aid parents in the positive resolution of the grief experienced upon the death of their child and to foster the physical and emotional health of the bereaved parents and siblings.",http://www.compassionatefriends.org,nationaloffice@compassionatefriends.org,inactive,,"Phone or e-mail the national office. When a person calls, TCF can put together, at no charge, a customized packet of bereavement materials specifically chosen to apply to a person's situation. Contact information to the nearest TCF chapter can also be provided where the whole family can gather with others bereaving the loss of a child.",,,,,
369,218,,"Advocacy * Domestic Violence Issues",,"The National Coalition Against Domestic Violence (NCADV) is the voice of victims and survivors. They work towards this mission of society having zero tolerance for domestic violence by effecting public policy, increasing understanding of the impact of domestic violence, and providing programs and education that drive that change.

",http://www.ilcadv.org,ilcadv@ilcadv.org,inactive,,,,,,,637158405241810
370,2258,,"Disease/Disability Information * Alzheimer's Disease",,"24/7 Helpline: Consultants provide individuals with information and support. AA offers translation services in more than 170 languages. Individuals may also search for resources or submit an on-line request to the Helpline at the website.

Consumer Education Programs: Offers a wide variety of community education programs designed to equip caregivers and people with dementia with the tools they will need while on their Alzheimer's journey. Visit the website or call the Helpline for a current listing of programs.",http://www.alz.org/illinois,,inactive,,,,,,,
371,2258,,"Information and Referral * Alzheimer's Disease","Care Navigation","Professional staff are dedicated to helping people navigate through the difficult decisions and uncertainties people with Alzheimer's and their families face at every stage of the disease. Services can be provided to clients by telephone.",http://www.alz.org/illinois,,inactive,,,,,,,
372,2258,,"Emergency Alert","MedicAlert + Safe Return","MedicAlert + Safe Return membership provides a specialized live 24/7 emergency response service for individuals with Alzheimer’s or related dementia who wander or have a medical emergency. Membership includes 24/7 caregiver consultation services.",http://www.alz.org/illinois,,inactive,,,,,,,878986697513222
373,2258,,"Support Groups * Alzheimer's Disease",,"Support groups are available for families, caregivers and those in the early stages of the disease. Support groups are designed to be a place where participants can share their stories and receive information and encouragement in a confidential environment.",http://www.alz.org/illinois,,inactive,,"By phone or website.",,,,,
374,2258,,"Volunteer Opportunities",,"Purpose: To meet the needs of an ethnically and culturally diverse population by providing guidance and support for persons with dementia and their caregivers; educating and informing the community; advocating for improved public policy and promoting needed legislation; supporting research in to the cause, prevention, treatment, and cure for Alzheimer's Disease and related disorders.

Opportunities: Volunteers needed to work on special fundraising projects throughout the year. Also to represent the chapter at health fairs, as advocates, and support group leaders.",http://www.alz.org/illinois,,inactive,,,,,,,
377,2461,,"Child Abuse Reporting/Emergency Response",,"The Illinois Department of Children and Family Services (DCFS) has the primary responsibility of protecting children and strengthening families through the investigation and intervention of suspected child abuse or neglect by parents and other caregivers. 

DCFS links families with community services to address struggles families are having, offers preventative services to referred families in an attempt to keep family units together to address findings of abuse/neglect, and works with families who have children under the legal custody of DCFS while working to reunify families when possible or provide a permanent home for children.

As part of its duties, DCFS also licenses and monitors all Illinois child welfare agencies, domestic and international adoption providers and more than 14,000 day care centers, homes, group homes and day care agencies in the state.",http://www.state.il.us/DCFS,,inactive,,"By phone.",,,,,878986697513222
378,2461,,"Family Preservation Programs","Norman Services","DCFS has developed services, referred to as ""Norman Services,"" for families who have one or more children who are at risk of being placed in DCFS care or who have children who cannot be returned home and one of the reasons for this risk is:
- lack of food
- lack of shelter
- lack of clothing
- or lack of other item(s) that, if providing this service will keep the child in the family's care or, if the child is already in DCFS custody, will help the child return home.

If eligible, families may receive the following services:
- Public Aid/TANF and other cash grants.
- Housing Advocacy Program (HAP) - helping families obtain permanent housing.
- Emergency Cash Assistance Program for basic needs. Not intended as ongoing subsidy, but only provided when it would prevent the removal of children by DCFS or allow the children to be returned home from DCFS placement.",,,inactive,,"By phone.",,,,,
379,2461,,"Child Abuse Reporting/Emergency Response",,"The Illinois Department of Children and Family Services (DCFS) has the primary responsibility of protecting children and strengthening families through the investigation and intervention of suspected child abuse or neglect by parents and other caregivers. 

DCFS links families with community services to address struggles families are having, offers preventative services to referred families in an attempt to keep family units together to address findings of abuse/neglect, and works with families who have children under the legal custody of DCFS while working to reunify families when possible or provide a permanent home for children.

As part of its duties, DCFS also licenses and monitors all Illinois child welfare agencies, domestic and international adoption providers and more than 14,000 day care centers, homes, group homes and day care agencies in the state.",http://www.illinois.gov/dcfs/,,inactive,,"By phone.",,,,,878986697513222
380,2461,,"Family Preservation Programs","Norman Services","DCFS has developed services, referred to as ""Norman Services,"" for families who have one or more children who are at risk of being placed in DCFS care or who have children who cannot be returned home and one of the reasons for this risk is:
- lack of food
- lack of shelter
- lack of clothing
- or lack of other item(s) that, if providing this service will keep the child in the family's care or, if the child is already in DCFS custody, will help the child return home.

If eligible, families may receive the following services:
- Public Aid/TANF and other cash grants.
- Housing Advocacy Program (HAP) - helping families obtain permanent housing.
- Emergency Cash Assistance Program for basic needs. Not intended as ongoing subsidy, but only provided when it would prevent the removal of children by DCFS or allow the children to be returned home from DCFS placement.",,,inactive,,"By phone.",,,,,
381,2461,,"Child Guardianship Assistance","Extended Family Support Program","EFSP can assist a relative caregiver who wants to obtain guardianship through probate court of a relative's child living in the home of the caregiver. This includes:
- Educating and helping the caregiver negotiate the probate court system.
- Assisting caregivers to obtain required documents.
- Arranging for legal counsel in counties where legal counsel is necessary.

EFSP caseworkers meet with the relative caregiver monthly until guardianship has been obtained or until other services have been provided. These services can include crisis intervention, applying for benefits, working with local schools for the child's enrollment, and referral to a range of needed services that the caregiver may have to help meet the basic needs of the family.",,,inactive,,"By phone.",,,,,
382,2470,,TANF,"TANF - Temporary Assistance to Needy Families","COVID19:
Although many of the DHS offices are mostly closed and are not seeing customers face to face, people can still apply for SNAP, medical, and TANF benefits online and by phone:
go to ABE.illinois.gov or call the Help is Here Hotline at 833-2-FIND-HELP (833-234-6343). 
There are NO public benefits that require face to face appointments in the office.
-----------------------

The Temporary Assistance for Needy Families (TANF) program provides temporary financial assistance for pregnant women and families with one or more dependent children. TANF provides financial assistance to help pay for food, shelter, utilities, and expenses other than medical.",http://www.idhslink.com,,inactive,,"By Phone, walk-in, website, or by appointment.","To qualify for TANF, a person must:
- Be pregnant or have a child under age 19 who lives with them. A child who is 18 must be a full-time high school student. A pregnant woman (and her husband, if he lives with her) may qualify for help, even if they don't have any other children.
- Live in Illinois. The family can be homeless and still qualify.
- Be a U.S. citizen or meet certain immigration requirements.
- Develop a plan for becoming self-sufficient and follow it.",,"Photo ID, birth certificate, proof of income, proof of residency, and Social Security card.",,
383,2470,,"Food Stamps/SNAP","SNAP/Food Stamps","COVID-19:

New! 5-21-20 - SNAP Electronic Benefit Transfer (EBT):
Beginning June 2, 2020, SNAP recipients will be able to purchase food from participating grocery retailers online (Amazon & Walmart are on board and other retailers are likely to be soon). Access will be provided automatically to all existing Link card holders beginning June 2. Customers will not need to call or visit an office. Customers will use their SNAP Personal Identification Number (PIN) to order. All SNAP recipients in Illinois will be able to participate.

4/22/20 - To increase food security during the coronavirus national emergency, SNAP households nationwide will receive emergency benefits representing a 40% increase in overall monthly SNAP benefits.

DHS offices are closed and not seeing customers face to face, but people can still apply for SNAP, medical, and TANF benefits online and by phone:
go to ABE.illinois.gov or call the Help is Here Hotline at 833-2-FIND-HELP (833-234-6343). 
There are NO public benefits that require face to face appointments in the office.
-----------------------
(Pre-COVID)
Provides a supplement to the food budgets of low-income households. Recipients receive a ""link"" card to purchase groceries. SNAP for low income community college students is also available.

SNAP/LINK benefits may now be used at restaurants. The SNAP Restaurant Meals Program goes into effect immediately for elderly, people with disabilities, or people experiencing homelessness.",http://www.idhslink.com,,inactive,,"May apply in the office or online.",,,"Photo ID, birth certificate, proof of income, proof of residency, and social security card. College students must get a verification form signed by a school counselor or administrator and take a current copy of their transcript or class schedule to the appointment.","Household total gross monthly income must be 130% to 165% of the Federal Poverty Level, but also takes into consideration household size and expenses. Older adults and people with disabilities can have higher gross monthly income limits and qualify. The maximum gross monthly income for a household of one (not disabled or over age 60) is around $1,634. A “household” is anyone living together who regularly purchases and prepares meals together.",832990803111047
385,2500,,"Children's/Adolescent Residential Treatment Facilities","BCH Residential Care","At Baptist Children’s Home campus in Carmi, residential care is provided for children (ages 12-18) who are experiencing emotional or behavioral difficulties as well as children who have been victimized by abuse, neglect, or abandonment. Housing, education, counseling, and medical care provided.",,bch@bch.com,inactive,,"By phone, fax, or e-mail.","- IQ 80+.
- Ability to live in a small-group environment.
- No danger to self or others.
- Ability to attend public school.",,"Photo ID, birth certificate, proof of income, proof of residency, Social Security card, and immunization records.",,
386,2500,,"Maternity Homes","Angel's Cove & Safe Families for Children","- Angel's Cove: A group home for young women experiencing a crisis pregnancy providing housing, counseling, prenatal care, parent training, adoption, and foster care. Services may also be provided in a person's home.

- Safe Families for Children: Provides a secure, temporary home for children whose parents are in a crisis situation using private homes as ""Safe Homes.""",,,inactive,,,,,,,
387,2510,,"Cell Phones",,"Safelink Wireless is a cell phone program for income-eligible households. In order to participate, persons must meet certain eligibility requirements set by each state where the service is to be provided. These requirements are based on a person’s participation in state or federal support programs or by meeting the poverty level guidelines. By law, Safelink Wireless is only available for one phone per household.",,,inactive,,"Apply by phone or website.","You qualify for Safelink Wireless in Illinois if you participate in one of the following assistance programs:
- Medicaid.
- Food Stamps/SNAP (Supplemental Nutrition Assistance Program).
- Supplemental Security Income (SSI).
- Temporary Assistance to Needy Families (TANF).
- Low Income Home Energy Assistance Program (LIHEAP).
- Federal Public Housing Assistance (Section 8).
- The National School Lunch’s Free Lunch Program (NSLP).",,"Proof of eligibility includes an eligible program card or statement of benefits.","If not participating in any of the above programs, income must be 135% of the poverty level or below.",
388,26,,"Advocacy * Disabilities Issues",,"Equip for Equality is an independent, private, not-for-profit organization designated by the Governor in 1985 to implement the federally mandated Protection and Advocacy (P&A) System in Illinois. The mission of Equip for Equality is to advance the human and civil rights of children and adults with disabilities in Illinois. It is the only statewide, cross-disability, comprehensive advocacy organization providing self-advocacy assistance, legal services, and disability rights education while also engaging in public policy and legislative advocacy and conducting abuse investigations and other oversight activities. Equip for Equality provides free legal services and self-advocacy assistance to people with disabilities in the areas of discrimination, assistive technology, special education, guardianship defense, abuse and neglect, and community integration. Equip for Equality provides self-advocacy training to people with disabilities and family members on topics including the Americans with Disabilities Act, employment, transportation, voting, Ticket to Work, special education and guardianship.",,,inactive,,"By phone (central intake).","People with disabilities who reside in Illinois.",,,,637158405241810
389,294,,"Adoption Services",,"1) Adoption Program Services identifies infant adoptions. Provides adoption home studies for domestic and international adoptions and facilitates foster licensing in a timely manner. Direct hospital placements are done whenever possible. Adoption seminars and support groups provided during the waiting period. ABC helps with Interstate Compact adoptive placements. They have flexible requirements for adoptive parents, e.g., age, length of marriage.
2) Birth Parents Program Services offers a full range of social supports, e.g., housing, finances, medical, etc.  Counseling is available for unplanned pregnancies. Adoption planning is offered, which may include meetings between birth parents and adoptive parents. Facilitates networking of birth parents who can talk to clients considering adoption.",http://www.abccounseling.org,,inactive,,"By phone.",,,,,
390,294,,"Child Sexual Abuse Counseling",,"Child Victims of Sexual Abuse and Sexually Reactive Children - Assessment, treatment, and comprehensive risk assessment to determine treatment need of child. Psycho-educational classes are available for parents of children affected by sexual abuse. 

Also offers general counseling services, such as individual and group counseling.",,,inactive,,,,,"Proof of income.",,
391,294,,"Adolescent/Youth Counseling * Child/Adolescent Sex Offenders","Youth with Sexually Problematic Behaviors (YSPB) Program","Youth with Sexually Problematic Behaviors Program is available for adolescent sex offenders who meet certain criteria and may be served in a community-based treatment program. YSPB Program provides a comprehensive assessment and testing process to assist in determining placement and treatment needs. Specific treatment includes individual and group counseling for the offender and their parents or caretakers. Eligibility requires waiver of confidentiality.",,,inactive,,,,,,,
392,3,,"Volunteer Opportunities",,"Call for information on available volunteer positions.",,,inactive,,,,,,,
393,3,,"Appearance Enhancement Consultation Programs",,"The American Cancer Society is a nationwide, community-based voluntary health organization dedicated to eliminating cancer as a major health problem. Services include:

1) Cancer information and referral: 24 hours a day, 365 days a year, including every holiday. The society answers questions about cancer. By calling the National 800 number or visiting www.cancer.org, clients will find:
- Information about the nature of a patient's cancer and treatment options.
- Assistance in locating financial aid resources and support services.
- Assistance in securing free or low-cost lodging for patients receiving treatment away from home.
- Information on a variety of ACS programs and services.
2) Reach to Recovery: This program is for any person undergoing treatment for breast cancer. The program pairs a breast cancer survivor with a recently diagnosed patient who has similar issues. Contact may be either a personal visit, a phone call, or online based on location.
3) Road to Recovery Program: This program provides free rides to cancer treatment appointments for any cancer patient.
4) Look Good Feel Better: This is a program for any woman undergoing treatment for cancer. Sessions given by trained cosmetologists teach patients about skin care, nail care, and wig care or hair wraps. Each participant will receive a free cosmetic kit to take home. One-on-one salon consultations may be available for those who cannot attend the workshops, and at-home materials for both men and women are also available.
5) Community and workplace education and wellness programs.
6) Wig services: Affordable wigs, hats, turbans, or scarves to any woman diagnosed with cancer.
7) Cancer Survivors Network: Online community to connect with others with cancer and their families.",https://www.champaigncounty.org/list,,inactive,,"By phone.","Older than 18 years old","No fees",None,,
394,322,,"Orientation and Mobility Training","Bureau of Blind Services","COVID-19:
All DRS local offices are closed and staff has transitioned to remote telework. They continue to assist customers, vendors and other stakeholders with programs and services. Customers can use the new toll-free number to receive assistance regarding DRS programs and services: 1-877-581-3690
------------------------------------

Offers programs for adults with visual impairments to enable them to work and participate fully in family and community life.

Vocational Rehabilitation Program - BBS staff work with individuals with severe visual impairments to help them find jobs or get ready to go to work. They also recommend assistive technology to help people perform tasks on the job. 

Community-Based Instructional Program - BBS staff teach independent living skills to people in their homes, at school, in the work place, or at other community sites. Also serve individuals aged 55 and older who are blind and visually impaired through the Older Blind Program.",http://www.dhs.state.il.us/page.aspx?item=29736,,inactive,,,"Illinois residents who are blind or visually impaired.",,,,
395,322,,"Vocational Rehabilitation","Bureau of Field Services","COVID-19:
All DRS local offices are closed and staff has transitioned to remote telework. They continue to assist customers, vendors and other stakeholders with programs and services. Customers can use the new toll-free number to receive assistance regarding DRS programs and services: 1-877-581-3690
-------------------------------------

DRS staff talk to persons with disabilities about their employment needs and help them find a job or get ready to go to work. They also make sure that people have the supports they need to stay on the job.

Specialized vocational rehabilitation services for people who are:
- Blind or visually impaired.
- Deaf or hard of hearing.
- Hispanic or Latino with disabilities.

DRS help high school students who have disabilities plan for their futures after high school graduation.

DRS Work Incentive Planning and Assistance Program helps people who receive SSDI/SSI benefits understand how working will affect their benefits.

DRS Supported Employment Program (SEP) serves eligible people with significant disabilities who want to go to work and need on-going support services to succeed on the job.",http://www.dhs.state.il.us/page.aspx?item=29736,,inactive,,,"Many people with disabilities of working age (16-64) are eligible for VR services. To be eligible, they need to have a significant physical or mental impairment that makes it difficult to go to work.",,,,
396,322,,"In Home Assistance",,"COVID-19:
All DRS local offices are closed and staff has transitioned to remote telework. They continue to assist customers, vendors and other stakeholders with programs and services. Customers can use the new toll-free number to receive assistance regarding DRS programs and services: 1-877-581-3690
-----------------------------

Home Services assists individuals with severe disabilities so they can remain in their homes and be as independent as possible. The program tries to prevent unnecessary nursing home placement by offering in-home care. Eligible customers may receive a wide range of services including personal caregivers, home health, home-delivered meals, assistive equipment, and respite services. Services are aimed at making the customer more independent in the home.

Specialized services are also available for persons with HIV/AIDS and/or traumatic brain injuries.",http://www.dhs.state.il.us/page.aspx?item=29736,,inactive,,,"Serves people with severe disabilities under age 60 who need help with daily living activities in their homes. Many of these people are at risk of moving into a nursing home or other facility.

For those 60 and over, please contact the Illinois Department on Aging.",,,,
397,322,,"Extreme Weather Shelters","Illinois Warming/Cooling Centers","Most DRS offices in the state are open as warming centers M-F, 8:30 am - 5:00 pm.",,,inactive,,,,,,,
398,322,,"Independent Living Skills Instruction * Blindness","Bureau of Blind Services","COVID-19:
All DRS local offices are closed and staff has transitioned to remote telework. They continue to assist customers, vendors and other stakeholders with programs and services. Customers can use the new toll-free number to receive assistance regarding DRS programs and services: 1-877-581-3690
------------------------------------

Offers programs for adults with visual impairments to enable them to work and participate fully in family and community life.

Vocational Rehabilitation Program - BBS staff work with individuals with severe visual impairments to help them find jobs or get ready to go to work. They also recommend assistive technology to help people perform tasks on the job. 

Community-Based Instructional Program - BBS staff teach independent living skills to people in their homes, at school, in the work place, or at other community sites. Also serve individuals aged 55 and older who are blind and visually impaired through the Older Blind Program.",,,inactive,,,"Illinois residents who are blind or visually impaired.",,,,
399,36,,"Support Groups * Compulsive Gambling",,"Gamblers Anonymous is a fellowship of men and women who share their experience, strength, and hope with each other that they may solve their common problem and help others to recover from a gambling problem. The only requirement for membership is a desire to stop gambling.",http://www.gamblersanonymous.org,isomain@gamblersanonymous.org,inactive,,"By phone.",,,,,
401,3803,,"Sexual Assault Hotlines",,"24-hour hotline for victims of sexual assault. Crisis counseling services, information & referral, and support can be accessed through calling the hotline.",,,inactive,,"By phone.","Survivors and non-offending signifcant others of sexual violence; ages 3 and older.",,,,
402,3803,,"Sexual Assault Counseling",,"Individual, group, family, and child counseling is available for both victims/survivors and their non-offending significant others.",,,inactive,,"By phone, walk-in, or appointment.","Survivors and non-offending signifcant others of sexual violence; ages 3 and older.",,,,
403,3803,,"Sexual Assault Prevention",,"This program provides education and training about sexual assault, abuse, and harassment to a wide variety of audiences. It also provides education to children in public and private school districts, as well as specialized training to professional allies.",,,inactive,,"By phone.",,,,,
404,3803,,"Advocacy * Sexual Assault Issues",,"Trained advocates respond to local hospitals 24-hours a day. They can accompany a victim through the evidence collection and medical treatment process; provide support; give information about options and rights; and assist with safety planning.


Legal advocates can assist clients with navigating the civil and criminal justice process. This includes assistance in filing for Civil No Contact and Stalking No Contact Orders. They can also help clients assert rights as a crime victim and accompany them to meetings with officials and court hearings.",,,inactive,,"By phone.","Available to survivors 3 and older and their non-offending significant others.",,,,941516382466411
405,3803,,"Protective/Restraining Orders * Sexual Assault Issues",,"Trained advocates respond to local hospitals 24-hours a day. They can accompany a victim through the evidence collection and medical treatment process; provide support; give information about options and rights; and assist with safety planning.


Legal advocates can assist clients with navigating the civil and criminal justice process. This includes assistance in filing for Civil No Contact and Stalking No Contact Orders. They can also help clients assert rights as a crime victim and accompany them to meetings with officials and court hearings.",,,inactive,,"By phone.","Available to survivors 3 and older and their non-offending significant others.",,,,
406,3809,,"Support Groups * Mental Illness/Emotional Disabilities",,"Emotions Anonymous is a twelve-step organization whose fellowship is composed of people coming together for the purpose of working toward recovery from emotional difficulties. EA members are from many walks of life and the only requirement for membership is a desire to become well emotionally. EA's program has been known to be helpful to many who suffer from problems as diverse as depression, anger, broken or strained relationships, grief, anxiety, low self-esteem, panic, abnormal fears, resentment, jealousy, guilt, loneliness, obsessive and negative thinking, compulsive behavior, and a variety of other emotional issues.",,,inactive,,"By phone.",,,,,637158405241810
407,2043,,"Reduced Cost Motor Vehicle Registration","License Plate Discount Program","The Benefit Access Application program includes the Seniors Free Transit Ride, the Persons with Disabilities Free Transit Ride, and the License Plate Discount. To be determined eligible for these benefits, a person must submit a Benefit Access Application on the Internet. Paper applications are not available. Once application is approved, a certificate of eligibility can be printed to take to one's local transit authority or Secretary of State Office. The website can be checked at anytime to determine application status.",http://www.state.il.us/aging,,inactive,,"Application available through website.","Persons age 65 and older, widow or widower who turned 63 before their spouse's death who was eligible, and persons with disabilities age 16 and older.",,,"$33,562 for a household of one; 
$44,533 for a household of two; or 
$55,500 for a household of three.
",
408,2043,,"Transportation Passes * Older Adults","Ride Free Transit Card","The Benefit Access Application program includes the Seniors Free Transit Ride, the Persons with Disabilities Free Transit Ride, and the License Plate Discount. The Transit Ride Program only applies to metropolitan public transit in Illinois. To be determined eligible for these benefits, a person must submit a Benefit Access Application on the Internet. Paper applications are not available. Once application is approved, a certificate of eligibility can be printed to take to one's local transit authority or Secretary of State Office. The website can be checked at any time to determine application status.",http://www.state.il.us/aging,,inactive,,,"Persons age 65 and older, widow or widower who turned 63 before their spouse's death who was eligible, and persons with disabilities age 16 and older.",,,"$33,562 for a household of one; 
$44,533 for a household of two; or 
$55,500 for a household of three.",1232587316936391
409,2043,,"Transportation Passes * People With Disabilities/Health Conditions","Ride Free Transit Card","The Benefit Access Application program includes the Seniors Free Transit Ride, the Persons with Disabilities Free Transit Ride, and the License Plate Discount. The Transit Ride Program only applies to metropolitan public transit in Illinois. To be determined eligible for these benefits, a person must submit a Benefit Access Application on the Internet. Paper applications are not available. Once application is approved, a certificate of eligibility can be printed to take to one's local transit authority or Secretary of State Office. The website can be checked at any time to determine application status.",,,inactive,,,"Persons age 65 and older, widow or widower who turned 63 before their spouse's death who was eligible, and persons with disabilities age 16 and older.",,,"$33,562 for a household of one; 
$44,533 for a household of two; or 
$55,500 for a household of three.",1232587316936391
410,2047,,"Day Labor",,"Specializes in day-to-day general labor.",,,inactive,,"Jobs can be searched and applied for online. Applications are also accepted in person at any Labor Ready branch office.",,,"To apply, must have photo ID in addition to a Social Security card or birth certificate.",,
411,21,,"Unemployment Insurance",,"Unemployment Insurance - Files claims and determines eligibility for unemployment benefits. The fastest way to access unemployment benefits is through the website. People can also file at the local IDES office.

IllinoisJobLink.com is a website that connects skilled job seekers to employers in Illinois. Job seekers can build multiple resumes to emphasize different skills and experiences. Business owners can use keyword matching technology to search resumes and find the best candidate. IllinoisJobLink.com is free for workers and employers and can be accessed 24/7 online.",http://www.ides.illinois.gov,,inactive,,"By phone and website.",,,,,
